SYEAR,SMTH,LF_STAT,NAICS_5,_COUNT_
,,Employed,03322,5750
,,Employed,03323,118750
,,Employed,03324,8500
,,Employed,03325,1000
,,Employed,03326,8250
,,Employed,03327,109000
,,Employed,03328,16250
,,Employed,03329,56250
,,Employed,03331,70250
,,Employed,03332,63000
,,Employed,03333,32500
,,Employed,03334,44500
,,Employed,03335,26250
,,Employed,03336,12250
,,Employed,03339,110750
,,Employed,03341,15250
,,Employed,03342,51000
,,Employed,03343,8250
,,Employed,03344,56500
,,Employed,03345,50000
,,Employed,03346,2750
,,Employed,03351,24000
,,Employed,03352,4000
,,Employed,03353,42750
,,Employed,03359,104750
,,Employed,03361,34000
,,Employed,03362,45000
,,Employed,03363,32250
,,Employed,03364,132750
,,Employed,03365,0
,,Employed,03366,121500
,,Employed,03369,20000
,,Employed,03371,226750
,,Employed,03372,15500
,,Employed,03379,13000
,,Employed,03391,66750
,,Employed,03399,291000
,,Employed,04111,39000
,,Employed,04121,45500
,,Employed,04131,299500
,,Employed,04132,104000
,,Employed,04133,18750
,,Employed,04134,3000
,,Employed,04141,50000
,,Employed,04142,16000
,,Employed,04143,16750
,,Employed,04144,72500
,,Employed,04145,95750
,,Employed,04151,119250
,,Employed,04152,64000
,,Employed,04153,1250
,,Employed,04161,231750
,,Employed,04162,38000
,,Employed,04163,278750
,,Employed,04171,34500
,,Employed,04172,252750
,,Employed,04173,151250
,,Employed,04179,220500
,,Employed,04181,127000
,,Employed,04182,27250
,,Employed,04183,61250
,,Employed,04184,38000
,,Employed,04189,210500
,,Employed,04411,643250
,,Employed,04412,131250
,,Employed,04413,230750
,,Employed,04421,217750
,,Employed,04422,98500
,,Employed,04431,373000
,,Employed,04441,566750
,,Employed,04442,76750
,,Employed,04451,2019750
,,Employed,04452,221750
,,Employed,04453,207000
,,Employed,04461,886000
,,Employed,04471,144250
,,Employed,04481,837250
,,Employed,04482,61750
,,Employed,04483,79500
,,Employed,04511,414750
,,Employed,04513,66750
,,Employed,04521,353500
,,Employed,04529,522250
,,Employed,04531,58000
,,Employed,04532,145000
,,Employed,04533,136250
,,Employed,04539,556250
,,Employed,04541,447000
,,Employed,04542,5250
,,Employed,04543,91000
,,Employed,04811,210500
,,Employed,04812,63250
,,Employed,04821,173250
,,Employed,04831,184000
,,Employed,04832,15000
,,Employed,04841,676500
,,Employed,04842,294250
,,Employed,04851,296000
,,Employed,04852,4500
,,Employed,04853,226000
,,Employed,04854,29750
,,Employed,04855,13750
,,Employed,04859,10250
,,Employed,04861,13000
,,Employed,04862,4000
,,Employed,04869,2250
,,Employed,04871,750
,,Employed,04872,30000
,,Employed,04879,5250
,,Employed,04881,244000
,,Employed,04882,11750
,,Employed,04883,236500
,,Employed,04884,153250
,,Employed,04885,197250
,,Employed,04889,1000
,,Employed,04911,285750
,,Employed,04921,253500
,,Employed,04922,226000
,,Employed,04931,280250
,,Employed,05111,139000
,,Employed,05112,259500
,,Employed,05121,803000
,,Employed,05122,25500
,,Employed,05151,84000
,,Employed,05152,5750
,,Employed,05173,516000
,,Employed,05174,3750
,,Employed,05179,26000
,,Employed,05182,64250
,,Employed,05191,149750
,,Employed,05221,1099750
,,Employed,05222,55250
,,Employed,05223,150750
,,Employed,05231,104250
,,Employed,05232,5250
,,Employed,05239,556750
,,Employed,05241,684250
,,Employed,05242,540500
,,Employed,05261,4000
,,Employed,05269,4250
,,Employed,05311,418250
,,Employed,05312,670750
,,Employed,05313,295750
,,Employed,05321,85500
,,Employed,05322,16500
,,Employed,05323,2250
,,Employed,05324,118500
,,Employed,05331,250
,,Employed,05411,869250
,,Employed,05412,898500
,,Employed,05413,1408750
,,Employed,05414,329500
,,Employed,05415,2529750
,,Employed,05416,709000
,,Employed,05417,281500
,,Employed,05418,364250
,,Employed,05419,377000
,,Employed,05611,250
,,Employed,05613,152000
,,Employed,05614,220250
,,Employed,05615,234250
,,Employed,05616,383500
,,Employed,05617,1383000
,,Employed,05619,110500
,,Employed,05621,117500
,,Employed,05622,68500
,,Employed,05629,29500
,,Employed,06111,2997750
,,Employed,06112,456250
,,Employed,06113,1375750
,,Employed,06114,21250
,,Employed,06115,52250
,,Employed,06116,778500
,,Employed,06117,75500
,,Employed,06211,751500
,,Employed,06212,591500
,,Employed,06213,770250
,,Employed,06214,298000
,,Employed,06215,139250
,,Employed,06216,181750
,,Employed,06219,142750
,,Employed,06220,3856000
,,Employed,06230,1514000
,,Employed,06241,1338250
,,Employed,06242,60000
,,Employed,06243,84500
,,Employed,06244,729250
,,Employed,07111,115250
,,Employed,07112,60250
,,Employed,07113,39500
,,Employed,07114,23750
,,Employed,07115,364500
,,Employed,07121,129500
,,Employed,07131,3750
,,Employed,07132,249500
,,Employed,07139,902750
,,Employed,07211,791750
,,Employed,07212,54000
,,Employed,07213,14750
,,Employed,07223,241750
,,Employed,07224,123750
,,Employed,07225,4081000
,,Employed,08111,605250
,,Employed,08112,58000
,,Employed,08113,257500
,,Employed,08114,135500
,,Employed,08121,734750
,,Employed,08122,40000
,,Employed,08123,64000
,,Employed,08129,141000
,,Employed,08131,296250
,,Employed,08132,88000
,,Employed,08133,49500
,,Employed,08134,174250
,,Employed,08139,201500
,,Employed,08141,207000
,,Employed,09110,1355250
,,Employed,09111,107250
,,Employed,09120,1118250
,,Employed,09130,1323750
,,Employed,09141,83000
,,Employed,09191,1000
,,Unemployed,,2618500
,,Unemployed,01100,6250
,,Unemployed,01111,2250
,,Unemployed,01112,3250
,,Unemployed,01113,16250
,,Unemployed,01114,11000
,,Unemployed,01119,2000
,,Unemployed,01121,1500
,,Unemployed,01123,1750
,,Unemployed,01124,0
,,Unemployed,01125,4250
,,Unemployed,01129,4500
,,Unemployed,01131,500
,,Unemployed,01132,0
,,Unemployed,01133,20750
,,Unemployed,01141,4500
,,Unemployed,01151,8250
,,Unemployed,01152,0
,,Unemployed,01153,21000
,,Unemployed,02100,7000
,,Unemployed,02111,9500
,,Unemployed,02121,500
,,Unemployed,02122,4000
,,Unemployed,02123,2750
,,Unemployed,02131,6750
,,Unemployed,02211,6250
,,Unemployed,02212,750
,,Unemployed,02213,2250
,,Unemployed,02361,71750
,,Unemployed,02362,15500
,,Unemployed,02371,18500
,,Unemployed,02372,1500
,,Unemployed,02373,30250
,,Unemployed,02379,4000
,,Unemployed,02381,34500
,,Unemployed,02382,66250
,,Unemployed,02383,31750
,,Unemployed,02389,35750
,,Unemployed,03111,750
,,Unemployed,03112,500
,,Unemployed,03113,3750
,,Unemployed,03114,1250
,,Unemployed,03115,750
,,Unemployed,03116,8000
,,Unemployed,03117,7500
,,Unemployed,03118,7250
,,Unemployed,03119,4500
,,Unemployed,03121,18250
,,Unemployed,03122,1000
,,Unemployed,03123,8500
,,Unemployed,03132,0
,,Unemployed,03133,0
,,Unemployed,03141,0
,,Unemployed,03149,1250
,,Unemployed,03151,500
,,Unemployed,03152,6500
,,Unemployed,03159,0
,,Unemployed,03161,0
,,Unemployed,03162,0
,,Unemployed,03169,0
,,Unemployed,03211,13000
,,Unemployed,03212,0
,,Unemployed,03219,4750
,,Unemployed,03221,5250
,,Unemployed,03222,2500
,,Unemployed,03231,500
,,Unemployed,03241,0
,,Unemployed,03251,0
,,Unemployed,03252,0
,,Unemployed,03253,0
,,Unemployed,03254,3750
,,Unemployed,03255,1000
,,Unemployed,03256,3000
,,Unemployed,03259,0
,,Unemployed,03261,2250
,,Unemployed,03262,0
,,Unemployed,03271,750
,,Unemployed,03272,1500
,,Unemployed,03273,3000
,,Unemployed,03274,0
,,Unemployed,03279,500
,,Unemployed,03311,0
,,Unemployed,03312,0
,,Unemployed,03313,500
,,Unemployed,03314,0
,,Unemployed,03315,250
,,Unemployed,03321,1000
,,Unemployed,03322,0
,,Unemployed,03323,9750
,,Unemployed,03324,750
,,Unemployed,03325,0
,,Unemployed,03326,0
,,Unemployed,03327,2000
,,Unemployed,03328,1250
,,Unemployed,03329,750
,,Unemployed,03331,4250
,,Unemployed,03332,2500
,,Unemployed,03333,1750
,,Unemployed,03334,250
,,Unemployed,03335,0
,,Unemployed,03336,0
,,Unemployed,03339,2000
,,Unemployed,03341,0
,,Unemployed,03342,0
,,Unemployed,03343,500
,,Unemployed,03344,1750
,,Unemployed,03345,0
,,Unemployed,03346,0
,,Unemployed,03351,750
,,Unemployed,03352,0
,,Unemployed,03353,1250
,,Unemployed,03359,4750
,,Unemployed,03361,0
,,Unemployed,03362,3500
,,Unemployed,03363,3000
,,Unemployed,03364,5500
,,Unemployed,03365,0
,,Unemployed,03366,14250
,,Unemployed,03369,0
,,Unemployed,03371,6500
,,Unemployed,03372,0
,,Unemployed,03379,2250
,,Unemployed,03391,4750
,,Unemployed,03399,11500
,,Unemployed,04111,1000
,,Unemployed,04121,2750
,,Unemployed,04131,8750
,,Unemployed,04132,250
,,Unemployed,04133,250
,,Unemployed,04134,0
,,Unemployed,04141,3000
,,Unemployed,04142,6500
,,Unemployed,04143,0
,,Unemployed,04144,500
,,Unemployed,04145,750
,,Unemployed,04151,0
,,Unemployed,04152,4250
,,Unemployed,04153,0
,,Unemployed,04161,6500
,,Unemployed,04162,0
,,Unemployed,04163,1750
,,Unemployed,04171,1500
,,Unemployed,04172,4250
,,Unemployed,04173,5250
,,Unemployed,04179,6500
,,Unemployed,04181,2500
,,Unemployed,04182,2500
,,Unemployed,04183,0
,,Unemployed,04184,0
,,Unemployed,04189,7750
,,Unemployed,04411,17000
,,Unemployed,04412,2500
